"balloon","version_num","years_active","sponsor","designer","height","length","width","weight","helium_volume","handlers","type","manufacturer","designers","handling_lines"
"80th Anniversary Hot Air Balloon",1,"2006","Macy's","Joel Naprstek","47 feet",NA,NA,NA,NA,NA,"Giant Balloons",NA,NA,NA
"Abby Cadabby",1,"2007-2009","Sesame Workshop","Janis Beauchamp","48.5 Feet","56 Feet","37.5 Feet","353 lbs.","16,100 Cubic ft.","53 Handling Lines90 Handlers","Giant Balloons",NA,NA,NA
"Ada Twist, Scientist",1,"2021-2022","Netflix","Eric Hudspeth","51 feet","41 feet","29 feet",NA,NA,"90","Giant Balloons",NA,NA,NA
"Adventure Time with Finn and Jake",1,"2013-2015","Cartoon Network","Jessica Moretti","40 feet","57 feet","26 feet",NA,NA,"90","Giant Balloons",NA,NA,NA
"Andy the Alligator",1,"1932-1933","Macy's","Tony Sarg",NA,NA,NA,NA,NA,"25","Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Angry Birds' Red",1,"2015-2017","Rovio Entertainment","Joel Naprstek","45.5 feet","44 feet","29.7 feet",NA,"14,000 cubic ft","90","Giant Balloons","Signs & Shapes International",NA,NA
"Arrtle the Pirate",1,"1947-1948","Macy's","Elizabeth Rodgers","43 feet",NA,NA,NA,"4,000 cubic ft.","20","Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Arrtle the Pirate",2,"2007-2010, 2015, 2018, 2021 (Main Parade)2007-2010 (Macy's Holiday Parade)","Macy's","Jennifer Palmer","36 feet",NA,"24.5 feet",NA,"3,600 cubic feet.","28","Giant Balloons","Raven Aerostar",NA,NA
"Arthur",1,"1997-2001, 2003","Little Brown Children's Publishing Company (1997-1998)Eden Toys (1999)Random House Children's Media Group (2000)The Learning Company (2001)Marc Brown Studios (2003)","Manfred Bass","68-feet","52-feet","32-feet",NA,"12,040 cubic ft",NA,"Giant Balloons","Raven Aerostar",NA,NA
"Babar",1,"1938, 1940","Macy's",NA,NA,NA,NA,NA,NA,NA,"Giant Balloons",NA,NA,NA
"Babar",2,"1991-1992","Nelvana LimitedThe Clifford Ross Company",NA,"50 Feet",NA,NA,NA,NA,"64","Giant Balloons","Raven Aerostar",NA,NA
"Babe",1,"1998","Universal Pictures","Manfred Bass","37 feet","60 feet","38 feet","364 lbs.","14,000 cubic ft.",NA,"Giant Balloons","Raven Aerostar",NA,NA
"Baby Shamu",1,"1986-1988","SeaWorld","Richard Murrey","65 feet",NA,"37 feet","300 lbs.","17,000 cubic ft.",NA,"Giant Balloons",NA,NA,NA
"Barney",1,"1994-2002","The Lyons Group (1994-1995)Lyrick Studios (1996-2000)HiT Entertainment (2001-2002)","Manfred Bass","58 feet","44 feet","30 feet",NA,"12,000 cubic ft.",NA,"Giant Balloons","Raven Aerostar",NA,NA
"Barney",2,"2003-2005","HiT Entertainment","Jerry Ospa","51.5 feet","53.3 feet","27 feet",NA,"15,370 cubic ft.",NA,"Giant Balloons","Raven Aerostar",NA,NA
"Barney Google",1,"1930","King Features Syndicate","Tony Sarg",NA,NA,NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Bart Simpson",1,"1990-1995","Fox, Inc.",NA,"67 feet",NA,"34 feet","750 lbs.","12,724 cubic ft.",NA,"Giant Balloons",NA,NA,NA
"Beethoven",1,"1993-1995, 2008","Universal Pictures","Manfred Bass","37 feet","76 feet",NA,"450 lbs.","15,750 cubic ft.",NA,"Giant Balloons","Raven Aerostar",NA,NA
"Betty Boop",1,"1985-1987, 1991-1992, 1995-1996","King Features",NA,"67 feet","38 feet","38 feet","425 lbs.","15,820 cubic ft.","40","Giant Balloons","Raven Aerostar",NA,NA
"Big Bird",1,"1988-2000","Children's Television Workshop (1988-1995, 1997-1999)Jim Henson Productions (1996)Sesame Workshop (2000)","Michael K. Frith","35 feet","67 feet","29 feet","450 lbs.","12,100 cubic ft.","50","Giant Balloons","Raven Aerostar",NA,NA
"Big Bird",2,"2001-2006","Sesame Workshop","Jennifer PalmerJerry Ospa","46 feet","63 feet","28 feet","468 lbs.","12,000 cubic ft.","80","Giant Balloons","Raven Aerostar",NA,NA
"Big Turk",1,"1928","Macy's","Tony Sarg",NA,"30 feet",NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Blue's Clues",1,"1999-2002","Nickelodeon","Manfred Bass","41 feet","63 feet","32 feet","500 lbs.","15,000 cubic ft.","58","Giant Balloons",NA,NA,NA
"Blue's Clues",2,"1999-2002","Nickelodeon",NA,NA,NA,NA,NA,NA,NA,"Giant Balloons",NA,NA,NA
"Blue's Clues",3,"2019-2022","Nickelodeon","Joel Naprstek",NA,NA,NA,NA,NA,NA,"Giant Balloons",NA,NA,NA
"Bluey",1,"2022-present","BBC Studios and Ludo Studio","Joey Ammons","52 feet","51 feet","37 feet",NA,NA,"90","Giant Balloons","Signs & Shapes International",NA,NA
"Bobo the Hobo",1,"1945","Macy's","Elizabeth Rodgers",NA,NA,NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Boob McNutt",1,"1930","Macy's","Tony Sarg",NA,NA,NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Bugs Bunny",1,"1989-1992","Warner Bros.","Jerry OspaManfred Bass","75 feet",NA,"34 feet",NA,NA,"40","Giant Balloons",NA,NA,NA
"Bullwinkle J. Moose",1,"1961-1983","The Kalmus Company (1961-1965)Macy's (1966-1983)",NA,"65 feet",NA,"35 feet","317 lbs.","8,200 cubic ft.","30","Giant Balloons","Goodyear Tire and Rubber Company","William R. LudwickJohn Grisak","30"
"Bullwinkle J. Moose",2,"1996, 1999-2000","Universal Studios Consumer Products Group","Manfred Bass","41 feet","68 feet","32 feet","475 lbs.","9,000 cubic ft.","50","Giant Balloons","Raven Aerostar",NA,"50"
"Bumpé",1,"1997","Skandiiplaay, LTD.","Manfred Bass","55 feet",NA,"33 feet",NA,"14,000 cubic ft.",NA,"Giant Balloons","Raven Aerostar",NA,NA
"Buzz Lightyear",1,"2008-2013","Disney·Pixar","Roger Gould","34.4 feet","67.7 feet","39.9 feet","600 lbs.",NA,"90","Giant Balloons",NA,NA,NA
"Cassie",1,"2000-2001","Sesame Workshop & Sony Pictures Family Entertainment Group","Manfred Bass",NA,"68 feet","27.5 feet","460 lbs.","13,600 cubic ft.",NA,"Giant Balloons",NA,NA,NA
"Cat",1,"1931","Macy's",NA,NA,NA,NA,NA,NA,NA,"Giant Balloons",NA,NA,NA
"Cat",2,"1931","Macy's","Tony Sarg",NA,NA,NA,NA,NA,"4","Giant Balloons",NA,NA,NA
"Charlie Brown",1,"2002-2005, 2012","United Features Syndicate (2002-2005)Peanuts Worldwide (2012)","John Piper","50.9 feet","53.4 feet","29.4 feet","576 pounds","13,300 cubic ft.",NA,"Giant Balloons",NA,NA,NA
"Charlie Brown",2,"2016-2018","Peanuts Worldwide","Laura Duphiney","46 feet","53 feet","31 feet","450 lbs.",NA,"90","Giant Balloons",NA,NA,NA
"Chase from PAW Patrol",1,"2017-present","Spin Master Ltd. and Nickelodeon","Jennifer Palmer","43.3 feet","59.8 feet","36.2 feet",NA,NA,"90","Giant Balloons","Raven Aerostar",NA,NA
"Cheesasaurus Rex",1,"2001-2003","Kraft Macaroni & Cheese","Jennifer PalmerJohn Piper","52 feet","61 feet","32 feet",NA,NA,NA,"Giant Balloons","Raven Aerostar",NA,NA
"Chicken Little",1,"2004-2005","Walt Disney Pictures","Jerry Ospa","60.5 feet","68.5 feet","26 feet","493 lbs.","12,700 cubic ft.",NA,"Giant Balloons",NA,NA,NA
"Christmas Stocking",1,"1937-1938","Macy's",NA,NA,"46 Feet",NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Clarence the Clown",1,"1940-1941","Macy's","Tony Sarg","57 feet",NA,NA,NA,"5,000 cubic ft.",NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Clifford the Big Red Dog",1,"1990-1996, 2000-2004","Scholastic, Inc.","Manfred Bass","44 feet","60 feet","30 feet",NA,"12,500 cubic ft.","60 (1990-1996)90 (2000-2004)","Giant Balloons","Raven Aerostar",NA,NA
"Colicky Kid",1,"1933-1934","Macy's","Tony Sarg",NA,NA,NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Crocodile",1,"1948-1950, 1952-1953","Macy's","Elizabeth Rodgers",NA,"75 Feet",NA,NA,"4,500 Cubic ft","25","Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Curious George",1,"1972","Knickerbocker Toy Company","Terry Bartel (figure)Manfred Bass (rest)",NA,NA,NA,NA,NA,NA,"Giant Balloons",NA,NA,NA
"Curious George",2,"2001","Vivendi Universal","Jerry Ospa","57 feet","46 feet","30 feet",NA,"11,600 cubic ft.",NA,"Giant Balloons","Raven Aerostar",NA,NA
"Dexter's Laboratory",1,"1998-2000","Cartoon Network","Manfred BassChris Battle","36 feet","57 feet","26 feet","640 pounds","21,700 cubic ft.",NA,"Giant Balloons","Raven Aerostar",NA,NA
"Diary of a Wimpy Kid",1,"2010-2015","ABRAMS Books (2010-2011, 2013-2015)ABRAMS Publishers (2012)",NA,"56 feet","60 feet","28 feet","280 lbs.",NA,"90","Giant Balloons",NA,"Jeff KinneyJennifer Palmer",NA
"Diary of a Wimpy Kid",2,"2016-2021","ABRAMS Children's Books",NA,"62 feet","62 feet","32 feet","330 lbs.",NA,"90","Giant Balloons",NA,"Jeff KinneyJoel Naprstek",NA
"Diary of a Wimpy Kid",3,"2022-present","ABRAMS Books",NA,"39 feet","45 feet","23 feet",NA,NA,"90","Giant Balloons",NA,"Jeff KinneyJoey Ammons",NA
"Donald Duck",1,"1935","Walt Disney Productions",NA,"30 feet",NA,NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company","Walt DisneyTony Sarg",NA
"Donald Duck",2,"1939","Walt Disney Productions",NA,NA,NA,NA,NA,NA,NA,"Giant Balloons",NA,NA,NA
"Donald Duck",3,"1946","Walt Disney Productions","Louis Kennel",NA,NA,NA,NA,NA,NA,"Giant Balloons",NA,NA,NA
"Donald Duck",4,"1962-1972, 1984","Walt Disney Productions",NA,"60 feet","65 feet","30 feet","440 lbs.","10,000 cubic ft.","35","Giant Balloons","Goodyear Tire and Rubber Company","William Ludwick John Grisak",NA
"Dora the Explorer (character)",1,"2005-2009","Nickelodeon","Jennifer PalmerJerry Ospa","55 feet","43 feet","39 feet",NA,"14,250 cubic ft.","51 (Handling lines)80 (Handlers)","Giant Balloons",NA,NA,NA
"Dudley the Dragon",1,"1995","Meridian Worldwide","Manfred Bass","65 feet","45 feet","28 feet","470 lbs.","15,500 cubic ft.",NA,"Giant Balloons","Raven Aerostar",NA,NA
"Early Bird",1,"1928","Macy's","Tony Sarg",NA,"50 feet",NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Eben Bear",1,"1995-1998","Macy's (1995-1997)John Deere (1998)","Manfred Bass","62 feet",NA,"32 feet",NA,"12,128 cubic ft.","50","Giant Balloons","Raven Aerostar",NA,NA
"Eddie Cantor",1,"1934","United Artists","Tony Sarg","50 Feet",NA,NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Elephant",1,"1941","Macy's","Tony Sarg",NA,"39 feet",NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Elsie the Cow",1,"1955","The Borden Company","Bill Tracy",NA,NA,NA,NA,NA,NA,"Giant Balloons",NA,NA,NA
"Elsie the Cow",2,"1963-1967","The Borden Company",NA,"40 feet",NA,NA,NA,"10,306 cubic ft.",NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Father Knickerbocker",1,"1936","Macy's","Tony Sarg","68 feet",NA,NA,NA,"5,800 cubic ft.","35","Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Felix the Cat",1,"1932-1933","Macy's","Tony Sarg",NA,NA,NA,NA,NA,"4","Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Felix the Cat",2,"2016","DreamWorks Classics","Laura Duphiney","21 Feet","15 Feet","20 Feet",NA,"1,950 cubic ft.",NA,"Giant Balloons",NA,NA,NA
"Ferdinand the Bull",1,"1938","Munro LeafWalt Disney Productions","Tony Sarg","32 feet","43 feet",NA,NA,"4,500 cubic ft.",NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Flying Fish",1,"1950-1952","Macy's","Elizabeth Rodgers",NA,"60 feet",NA,NA,"6,500 cubic ft.",NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Flying Fish",2,"1953-1954","Macy's","Elizabeth Rodgers",NA,"60 feet",NA,NA,"6,500 cubic ft.",NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Flying Fish",3,"1996-1997, 1999-2001, 2003-2008, 2013","Macy's","Manfred Bass","22 feet","35 feet","19 feet","150 lbs.","3,770 cubic ft.","28","Giant Balloons","Macy's Parade Studio",NA,"16"
"Flying Trapeze (1962)",1,"1962","Macy's",NA,"30 feet",NA,"20 feet","150 lbs.",NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Freida the Dachshund",1,"1949-1951, 1953-1955","Macy's","Elizabeth Rodgers",NA,"63 feet",NA,"200 lbs.",NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Freida the Dachshund",2,"2003-2005, 2009, 2011 (Main Parade)2003-2006 (Universal Studios)","Universal Orlando Resort (2003)Macy's (2004-2005, 2009, 2011)","Jennifer Palmer","21 feet","52 feet","14 feet",NA,"2,600 cubic ft.","14","Giant Balloons","Raven Aerostar",NA,NA
"Fritz the Dachshund",1,"1932-1933","Macy's","Tony Sarg",NA,"50 feet",NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Garfield",1,"1984-1989, 1992-1999","United Features Syndicate (1984-1986)United Media (1987-1989, 1992-1993)Paws, Inc. (1994-1999)","Rod Reuter","35 feet","61 feet","35 feet","398 lbs.","18,907 cubic ft.","36","Giant Balloons","Raven Aerostar",NA,NA
"Garfield",2,"2003-2006","Paws, Inc. (2003-2004) 20th Century Fox Home Entertainment (2005-2006)","Jennifer Palmer","48 feet","49 feet","34 feet",NA,"14,000 cubic ft.",NA,"Giant Balloons","Raven Aerostar",NA,NA
"George the Giant Drum Major",1,"1932","Macy's","Tony Sarg",NA,NA,NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Giantess",1,"1928","Macy's","Tony Sarg",NA,NA,NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Gnome",1,"1947-1951","Macy's","Elizabeth Rodgers","39 feet",NA,NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Gobble the Turkey",1,"1929","Macy's","Tony Sarg",NA,NA,NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Goku",1,"2018-2019, 2021-present","Funimation (2018)Toei Animation, Inc. (2019, 2021-present)",NA,"56 feet","70 feet","36 feet","796 lbs.",NA,"90","Giant Balloons",NA,NA,NA
"Goldfish",1,"1941","Macy's","Tony Sarg",NA,"52 feet",NA,NA,NA,"35","Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Goldfish (1928)",1,"1928","Macy's","Tony Sarg",NA,"35 feet",NA,NA,NA,"6","Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Goofy",1,"1992","The Walt Disney Company","Manfred Bass","65 feet",NA,"15 feet","460 lbs.","10,800 cubic ft.","34","Giant Balloons","Raven Aerostar",NA,NA
"Gorgeous Gobbler",1,"1954-1957, 1959-1961","Macy's","William Ludwick","50 feet","45 feet",NA,"305 lbs.","13,500 cubic ft.","45","Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Gorgeous Gobbler",2,"2003","Macy's",NA,"23.5 feet","16.75 feet","18 feet",NA,NA,NA,"Giant Balloons","Raven Aerostar",NA,NA
"Green Eggs and Ham",1,"2019","Netflix","Joseph Ammons","46 feet","51 feet","27 feet","643 lbs","15,000 cubic ft.","90","Giant Balloons",NA,NA,NA
"Grogu",1,"2021-present","Funko and Lucasfilm","Joey Ammons","41 feet","29 feet","37 feet",NA,NA,"90","Giant Balloons",NA,NA,NA
"Gulliver The Gullible",1,"1933","Macy's","Tony Sarg",NA,"62 Feet",NA,NA,NA,"40","Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Hamlet the Balloon School Pig",1,"2003-2008","Macy's",NA,"37 feet","60 feet","38 feet","364 lbs.","14,000 cubic ft.",NA,"Giant Balloons",NA,NA,NA
"Happy Dragon",1,"1960-1964, 1966-1981, 1991-1992","Macy's","William Ludwick","20 feet","75 feet","33 feet","300 lbs.","7,280 cubic ft.","22","Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Happy Dragon",2,"2012, 2016-2017","Macy's","Joel Naprstek",NA,"58 feet",NA,NA,NA,NA,"Giant Balloons","Big Ideas Parade Giants",NA,NA
"Happy Hippo",1,"1940-1941","Macy's","Tony Sarg",NA,"20 Feet",NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Happy Hippo",2,"2001-2003, 2005-2006","Yahoo.com (2001)Macy's (2002-2003; 2005-2006)","Dany Jones","14 Feet","23 Feet","10 Feet","53 lbs",NA,"10","Giant Balloons","Raven Aerostar",NA,NA
"Happy Hippo",3,"2013, 2015-2016, 2021 (Main Parade)2013-2016 (Macy's Holiday Parade)","Macy's","Jessica Moretti","17 Feet","27 Feet","12 Feet",NA,NA,"36","Giant Balloons","Raven Aerostar",NA,NA
"Harold the Baseball Player",1,"1946","Macy's","Elizabeth Rodgers","46 feet",NA,NA,NA,"6,700 cubic ft.",NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Harold the Baseball Player",2,"2017","Twentieth Century Fox Home Entertainment",NA,"30 feet",NA,"25 feet",NA,"3,500 cubic ft.","18","Giant Balloons","Raven Aerostar",NA,NA
"Harold the Fireman",1,"1948","Macy's","Elizabeth Rodgers",NA,NA,NA,NA,"6,700 cubic ft.",NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Harold the Fireman",2,"1996-2017, 2019","Macy's",NA,"32 feet",NA,"26 feet",NA,"2,800 cubic ft.","30","Giant Balloons","Raven Aerostar",NA,NA
"Harold the Policeman",1,"1947","Macy's","Elizabeth Rodgers",NA,NA,NA,NA,"6,700 cubic ft.",NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Harold the Policeman",2,"2011-2016","Macy's",NA,NA,NA,NA,NA,NA,"30","Giant Balloons","Raven Aerostar",NA,NA
"Hello Kitty",1,"2007-2011","Sanrio","Jennifer Palmer","33 feet","45 feet","34 feet",NA,"16,200 cubic ft.",NA,"Giant Balloons",NA,NA,NA
"Hello Kitty",2,"2012-2017","Sanrio, Inc","Jennifer Palmer","36 Feet","50 Feet","38 Feet",NA,NA,"90","Giant Balloons",NA,NA,NA
"Hobo Clown",1,"1949-1953","Macy's",NA,NA,NA,NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Honey Nut Cheerios Bee",1,"1999-2001","General Mills",NA,"37 feet","60 feet","33 feet",NA,"15,000 cubic ft.",NA,"Giant Balloons","Raven Aerostar",NA,NA
