"balloon","version_num","years_active","sponsor","designer","height","length","width","weight","helium_volume","handlers","type","manufacturer","designers","handling_lines"
"FriendsWithYou",1,"2018","FriendsWithYou",NA,"22 feet",NA,"30 feet",NA,NA,"32","Novelty Balloons",NA,"Samuel Albert BorksonArturo Sandoval III",NA
"Fujifilm",1,"1995","Fujifilm","Manfred Bass",NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Fujifilm",2,"1995-1997","Fujifilm",NA,NA,NA,NA,NA,NA,NA,"Novelty Balloons","Raven Aerostar",NA,NA
"Fujifilm",3,"1996","Fujifilm and Paramount Pictures/Warner Bros.","Manfred Bass",NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Fujifilm",4,"1997","Fujifilm","Manfred Bass",NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Gazer the Elf",1,"2011","Macy's","Keith Lapinig","34 feet",NA,"18 feet",NA,"2,100 cubic ft.",NA,"Novelty Balloons",NA,NA,NA
"Geometric Ornaments",1,"1985-1994, 1998","Macy's","Manfred Bass","10 feet","10 feet","10 feet","8 lbs","525 lbs","4","Novelty Balloons",NA,NA,NA
"Geometrics",1,"2009-2012","Macy's",NA,"16 Feet",NA,NA,NA,"1,700 Cubic ft",NA,"Novelty Balloons",NA,NA,NA
"Gold Macy's Starflakes",1,"2017-2019 (Main Parade)2017-Present (Universal's Holiday Parade Featuring Macy's)","Macy's",NA,"25 feet","14 feet","24 feet","50 lbs.",NA,"24","Novelty Balloons",NA,NA,NA
"Gold Macy's Tri-Star",1,"2008 (Main Parade)2011-2016 (Macy's Holiday Parade)","Macy's",NA,NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Gorgeous Gobbler",1,"1954-1957, 1959-1961","Macy's","William Ludwick","50 feet","45 feet",NA,"305 lbs.","13,500 cubic ft.","45","Novelty Balloons","Goodyear Tire and Rubber Company",NA,NA
"Gorgeous Gobbler",2,"2003","Macy's",NA,"23.5 feet","16.75 feet","18 feet",NA,NA,NA,"Novelty Balloons","Raven Aerostar",NA,NA
"Green ""Believe"" Star",1,"2008-2010","Macy's",NA,"25 feet","12 feet deep","24 feet","50 lbs.","1,650 Cubic ft",NA,"Novelty Balloons",NA,NA,NA
"Green Candy Cane",1,"2006-2009","Macy's",NA,NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Green Macy's Stars",1,"2008-2012, 2014-2016 (Macy's Holiday Parade)","Macy's",NA,"25 feet","12 feet deep","24 feet","50 lbs.",NA,"12","Novelty Balloons",NA,NA,NA
"Handprint Spheres",1,"2006","Delta Air Lines",NA,NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Happy Dragon",1,"1960-1964, 1966-1981, 1991-1992","Macy's","William Ludwick","20 feet","75 feet","33 feet","300 lbs.","7,280 cubic ft.","22","Novelty Balloons","Goodyear Tire and Rubber Company",NA,NA
"Happy Dragon",2,"2012, 2016-2017","Macy's","Joel Naprstek",NA,"58 feet",NA,NA,NA,NA,"Novelty Balloons","Big Ideas Parade Giants",NA,NA
"Happy Hippo",1,"1940-1941","Macy's","Tony Sarg",NA,"20 Feet",NA,NA,NA,NA,"Novelty Balloons","Goodyear Tire and Rubber Company",NA,NA
"Happy Hippo",2,"2001-2003, 2005-2006","Yahoo.com (2001)Macy's (2002-2003; 2005-2006)","Dany Jones","14 Feet","23 Feet","10 Feet","53 lbs",NA,"10","Novelty Balloons","Raven Aerostar",NA,NA
"Happy Hippo",3,"2013, 2015-2016, 2021 (Main Parade)2013-2016 (Macy's Holiday Parade)","Macy's","Jessica Moretti","17 Feet","27 Feet","12 Feet",NA,NA,"36","Novelty Balloons","Raven Aerostar",NA,NA
"Harold the Baseball Player",1,"1946","Macy's","Elizabeth Rodgers","46 feet",NA,NA,NA,"6,700 cubic ft.",NA,"Novelty Balloons","Goodyear Tire and Rubber Company",NA,NA
"Harold the Baseball Player",2,"2017","Twentieth Century Fox Home Entertainment",NA,"30 feet",NA,"25 feet",NA,"3,500 cubic ft.","18","Novelty Balloons","Raven Aerostar",NA,NA
"Harold the Fireman",1,"1948","Macy's","Elizabeth Rodgers",NA,NA,NA,NA,"6,700 cubic ft.",NA,"Novelty Balloons","Goodyear Tire and Rubber Company",NA,NA
"Harold the Fireman",2,"1996-2017, 2019","Macy's",NA,"32 feet",NA,"26 feet",NA,"2,800 cubic ft.","30","Novelty Balloons","Raven Aerostar",NA,NA
"Harold the Policeman",1,"1947","Macy's","Elizabeth Rodgers",NA,NA,NA,NA,"6,700 cubic ft.",NA,"Novelty Balloons","Goodyear Tire and Rubber Company",NA,NA
"Harold the Policeman",2,"2011-2016","Macy's",NA,NA,NA,NA,NA,NA,"30","Novelty Balloons","Raven Aerostar",NA,NA
"Ice Cream Cone (1985)",1,"1985-1986","Macy's","Manfred Bass",NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Ice Cream Cone (2019)",1,"2019, 2021","Macy's",NA,"30 feet",NA,"17 feet",NA,NA,"36","Novelty Balloons",NA,NA,NA
"Ice Stars",1,"1987-2000","Macy's",NA,"24 feet","12 feet deep","24 feet","50 lbs.",NA,"8","Novelty Balloons",NA,NA,NA
"Jeff Koons",1,"2007","Jeff Koons","Jeff Koons","53.5 feet","17.9 feet","26.5 feet",NA,"4,650 cubic ft.",NA,"Novelty Balloons",NA,NA,NA
"KAWS",1,"2012","KAWS","Brian Donelly","28 feet","41 feet","24 feet",NA,"4,500 cubic ft",NA,"Novelty Balloons",NA,NA,NA
"Keith Haring",1,"2008","The Keith Haring Foundation",NA,"48 feet",NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Lollipops",1,"1985-1988","Macy's","Bill Smith","25 feet","25 feet",NA,NA,NA,"12","Novelty Balloons",NA,NA,NA
"Macy's Pride Stars",1,"2005-2012 (NYC Pride March)2005-2008 (Macy's Holiday Parade)","Macy's",NA,NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Macy's Pride Stars",2,"2018-2019 (NYC Pride March)","Macy's","Joel Naprstek",NA,NA,NA,NA,NA,"12","Novelty Balloons",NA,NA,NA
"Macy's Thanksgiving Day Parade Stars",1,"2002-2005","Macy's",NA,"25 feet","12 feet deep","24 feet","50 lbs.","1,650 cubic ft.",NA,"Novelty Balloons",NA,NA,NA
"Madagascar Blimp",1,"2017-present","DreamWorks Animation","Eric Marchetta",NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Opening Macy's Stars",1,"2018-present","Macy's","Jennifer Palmer","25 feet","12 feet deep","24 feet","50 lbs.","1,650 cubic ft.","36","Novelty Balloons","Raven Aerostar",NA,NA
"Patriotic Macy's Star Array",1,"2007","Macy's",NA,NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Pennsylvania Dutch Ornaments",1,"1985-1995, 1997","Macy's","Manfred Bass","10 feet","10 feet","10 feet","8 lbs","525 cubic ft.","4","Novelty Balloons",NA,NA,NA
"Planet Earth",1,"1996","Macy's","Robert Hummel",NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Planet Earth",2,"2007-2013","Macy's (2007-2009)Power Rangers Samurai (2010-2011)Saban Brands (2012-2013)",NA,NA,NA,"14 Feet",NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Poinsettia Ornaments",1,"1985-1995","Macy's","Manfred Bass","10 feet","10 feet","10 feet","8 lbs","525 cubic ft.","4","Novelty Balloons",NA,NA,NA
"Poinsettia Ornaments",2,"2004-2008; 2023-present","Macy's (2004-2008)Universal Orlando Resort (2023-present)",NA,"10 feet","10 feet","10 feet","8 lbs.","525 cubic ft.","4","Novelty Balloons",NA,NA,NA
"Pumpkins",1,"1992-1998","Macy's","Manfred Bass",NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Pumpkins",2,"2003-2011","Macy's",NA,NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Pumpkins",3,"2012-2017, 2019, 2021","Macy's",NA,"14 feet Each","14 feet Each","14 feet Each",NA,NA,"24","Novelty Balloons",NA,NA,NA
"Pumpkins",4,"2022-present","Macy's",NA,NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Raspberry Cheesecake Swirl/Chocolate Chunk Ice Cream Cone",1,"2006-2007","Macy's",NA,"35 feet",NA,"22 feet","86 lbs.","1,750 cubic ft.","10","Novelty Balloons",NA,NA,NA
"Red ""Believe"" Stars",1,"Original Versions2009-2014Current versions2015-2016; 2018-present","Macy's",NA,"25 feet","12 feet deep","24 feet","50 lbs.",NA,"24","Novelty Balloons",NA,NA,NA
"Red & Green Candy Cane",1,"2014, 2017, 2019, 2021 (original version)2022-present (current version)","Macy's (2014, 2019, 2019, 2021, 2022)Universal Orlando Resort (2023-present)",NA,"40 feet","20 feet","8 feet",NA,NA,"20","Novelty Balloons",NA,NA,NA
"Red and Green Macy's Star Array",1,"2008-2010 (Macy's Holiday Parade)","Macy's",NA,NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Red Candy Cane",1,"1946, 1948","Macy's","Elizabeth Rodgers","46 feet",NA,NA,NA,NA,NA,"Novelty Balloons","Goodyear Tire and Rubber Company",NA,NA
"Red Candy Cane",2,"2004-2006, 2008-2013, 2015-2016","Macy's",NA,"20 feet",NA,NA,NA,NA,NA,"Novelty Balloons","Macy's Parade Studio",NA,NA
"Red Macy's Stars",1,"2002-2008","Macy's",NA,"25 feet","12 feet deep","24 feet","50 lbs.","1,650 cubic ft.","24","Novelty Balloons","Macy's Parade Studio",NA,NA
"Sesquicentennial Hot Air Balloon",1,"2002-2003, 2008","Macy's","Jennifer Palmer",NA,NA,NA,NA,NA,"22","Novelty Balloons",NA,NA,NA
"Smokey Bear",1,"1966-1981, 1993","General Electric Company (1966)The Cooperative Forest Fire Prevention Program (1966-1971)Macy's (1972-1981)United States Department of Agriculture - Forest Service (1993)","Bill LudwickRalph MillerStanley Devies","58 feet",NA,"30.6 feet","420 lbs.","9,920 cubic ft.","36","Novelty Balloons","Goodyear Tire and Rubber Company",NA,NA
"Smokey Bear",2,"2019-present","United States Department of Agriculture - Forest Service","Laura Duphiney","51 feet","16 feet","25 feet",NA,NA,"40","Novelty Balloons","Big Ideas Parade Giants",NA,NA
"Snow Crystal Ornaments",1,"1985-1992","Macy's",NA,"10 feet","10 feet","10 feet","8 lbs.","525 cubic ft.","4","Novelty Balloons",NA,NA,NA
"Snow Crystal Ornaments",2,"2004, 2007, 2009-2012, 2017, 2021-present","Macy's",NA,"10 feet","10 feet","10 feet","8 lbs.","525 cubic ft.","16","Novelty Balloons",NA,NA,NA
"Soccer Ball",1,"2007, 2012","Macy's",NA,"12 feet","12 feet","12 feet",NA,"900 cubic ft.",NA,"Novelty Balloons","Macy's Parade Studio",NA,"8"
"Starfish",1,"1986","SeaWorld",NA,"25 feet","12 feet deep","24 feet wide","50 lbs.",NA,NA,"Novelty Balloons",NA,NA,NA
"Strawberry/Pistachio Ice Cream Cone",1,"1987-2003 (original)2005-2006, 2009-2011 (duplicate)","Macy's",NA,"35 feet",NA,"22 feet","86 lbs.","1,750 cubic ft.","10","Novelty Balloons",NA,NA,NA
"Sunny the Snowpal",1,"2018","Macy's",NA,"27.8 feet","17 feet","20.3 feet","193 lbs.",NA,"36","Novelty Balloons",NA,NA,NA
"Takashi Murakami",1,"2010","Kaikai Kiki Co., Ltd.",NA,NA,"40 feet",NA,NA,NA,NA,"Novelty Balloons",NA,"Takashi MurakamiLaura Duphiney",NA
"The Balloonatiks Superheroes",1,"1992","Animagic Entertainment Company",NA,NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"The Christmas Chronicles",1,"2018, 2020","Netflix","Laura Duphiney","30 feet",NA,"20 feet (Fleck, Bjorn)16 feet (Jojo)",NA,NA,"40 (Fleck, Hugg)36 (Bjorn, Jojo)","Novelty Balloons",NA,NA,NA
"The Hottest Heart",1,"2022","adidas x Bad Bunny",NA,NA,NA,NA,NA,NA,"25","Novelty Balloons",NA,NA,NA
"The Nutcracker",1,"2017-Present (Universal's Holiday Parade) 2018-2020 (Main Parade)","Universal Orlando Resort",NA,"44 feet","16 feet deep","18.5 feet",NA,NA,"36","Novelty Balloons",NA,NA,NA
"Tim Burton",1,"2011","Tim Burton","Tim Burton","32 feet",NA,"19 feet",NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Tim the Teddy",1,"2017-Present (Universal's Holiday Parade)","Illumination Animation",NA,NA,NA,NA,NA,NA,"9","Novelty Balloons",NA,NA,NA
"Tiptoe",1,"2021-Present","Macy's","Eric Hudspeth","17 feet",NA,NA,NA,NA,"7","Novelty Balloons",NA,NA,NA
"Tom Otterness",1,"2005-2006","Tom Otterness","Tom Otterness","33 feet","20 feet","27 feet","200 lbs.",NA,"25","Novelty Balloons",NA,NA,NA
"Toni, the Bandleader Bear",1,"2021","Macy's","Joseph Ammons","39 feet","28 feet","24 feet",NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Toy Soldier",1,"1950-1951, 1953-1954, 1957-1958","Macy's",NA,"45 Feet",NA,NA,NA,"3,000 cubic ft.",NA,"Novelty Balloons","Goodyear Tire and Rubber Company",NA,NA
"Toy Soldier",2,"2001, 2003-2004, 2006 (Main Parade)2002-2013 (Macy's Holiday Parade)","Macy's",NA,"34 Feet","9.5 Feet","14 Feet","65 Pounds","1,800 cubic ft.","12","Novelty Balloons","Raven Aerostar",NA,NA
"Trixie the Bouncing Dog",1,"2016","Macy's","Laura Duphiney","40 feet","36 feet","15 feet",NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Turkey of World Peace",1,"2004","Delta Air Lines","Alexander Mora",NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Uncle Dan",1,"2023-present","Illumination","Eric Hudspeth","37 feet","32 feet","20 feet",NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Uncle Sam",1,"1938-1940","Macy's",NA,"75 feet","75 feet",NA,NA,"5,500 cubic ft.",NA,"Novelty Balloons","Goodyear Tire and Rubber Company",NA,NA
"Uncle Sam",2,"2002-2006, 2008, 2010-2013","Macy's","Jennifer Palmer","39 feet",NA,NA,NA,NA,NA,"Novelty Balloons","Raven Aerostar",NA,NA
"Virginia O'Hanlon",1,"2010-2015","Macy's","Laura Duphiney",NA,NA,NA,NA,NA,"32","Novelty Balloons",NA,NA,NA
"White Macy's Stars",1,"1985","Macy's",NA,"10 feet",NA,NA,NA,NA,NA,"Novelty Balloons","Raven Aerostar",NA,NA
"White Macy's Stars",2,"1986-1998, 1999-2007, 2012-2014","Macy's",NA,NA,NA,NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Wiggle Worm",1,"1993-1996","Macy's",NA,NA,"50 feet",NA,NA,NA,NA,"Novelty Balloons",NA,NA,NA
"Wiggle Worm",2,"2004-2005, 2010, 2012, 2014-2016, 2019","Macy's",NA,"19 feet","70 feet","19 feet",NA,"3,900 cubic ft.","39","Novelty Balloons",NA,NA,NA
"Yayoi Kusama",1,"2019-2020","Yayoi Kusama",NA,"34 feet","30 feet","36 feet",NA,NA,"40","Novelty Balloons",NA,"Yayoi KusamaJoel Naprstek",NA
"Yellow Macy's Stars",1,"2006-20142015-2019, 2021","Macy's",NA,"25 feet","12 feet deep","24 feet","50 lbs.","1,650 cubic ft.","24","Novelty Balloons",NA,NA,NA
"Blue Holiday Ornament",1,"2010 (Main Parade)2010-2013 (Universal)","Macy's",NA,NA,NA,NA,NA,NA,NA,"Balloonicle",NA,NA,NA
"Cloe the Holiday Clown",1,"1994-2003 (Main Parade)2002-2004 (Macy's Holiday Parade)","Macy's","Manfred Bass","28.5 feet",NA,"18 feet",NA,"2,241 cubic ft.",NA,"Balloonicle",NA,NA,NA
"Cloe the Holiday Clown",2,"2005-2009, 2011-2012 (Main Parade)2005-2012 (Macy's Holiday Parade)","Macy's","Dany JonesJoel Naprstek","28.5 feet",NA,"18 feet",NA,"2,242 cubic ft.",NA,"Balloonicle",NA,NA,NA
"Cloe the Holiday Clown",3,"2014 (Main Parade)2014-2016 (Macy's Holiday Parade)","Universal Orlando Resort",NA,"25 feet",NA,"16 feet",NA,NA,NA,"Balloonicle",NA,NA,NA
"Diary of a Wimpy Kid",1,"2010-2015","ABRAMS Books (2010-2011, 2013-2015)ABRAMS Publishers (2012)",NA,"56 feet","60 feet","28 feet","280 lbs.",NA,"90","Balloonicle",NA,"Jeff KinneyJennifer Palmer",NA
"Diary of a Wimpy Kid",2,"2016-2021","ABRAMS Children's Books",NA,"62 feet","62 feet","32 feet","330 lbs.",NA,"90","Balloonicle",NA,"Jeff KinneyJoel Naprstek",NA
"Diary of a Wimpy Kid",3,"2022-present","ABRAMS Books",NA,"39 feet","45 feet","23 feet",NA,NA,"90","Balloonicle",NA,"Jeff KinneyJoey Ammons",NA
"Energizer Bunny",1,"2006-2011","Energizer","Joel Naprstek","40 feet","23 feet",NA,NA,NA,NA,"Balloonicle",NA,NA,NA
"FOX Sports",1,"2022","FOX Sports","Joey Ammons","25 feet","25 feet","10 feet",NA,NA,"40","Balloonicle",NA,NA,NA
"Go Bowling",1,"2018-Present","Go Bowling","Joel Naprstek","14 feet (Bowling Ball)16 feet (Bowling Pins)",NA,NA,NA,NA,"12","Balloonicle",NA,NA,NA
"Heinz",1,"2021","Heinz","Joey Ammons",NA,NA,NA,NA,NA,NA,"Balloonicle",NA,NA,NA
"Kool-Aid Man",1,"2010-2015","Kraft Foods","Laura Duphiney","34 feet","22 feet","25 feet",NA,NA,"8","Balloonicle",NA,NA,NA
"Mother Ginger",1,"2016 (Main Parade)2016 (Macy's Holiday Parade)","Universal Orlando Resort",NA,NA,NA,NA,NA,NA,NA,"Balloonicle",NA,NA,NA
"Red Holiday Ornament",1,"2010-2012","Macy's",NA,NA,NA,NA,NA,NA,NA,"Balloonicle",NA,NA,NA
"Sinclair Oil Corporation",1,"1963-1976","Sinclair Oil Corporation (1963-1968)Macy's (1969-1976)",NA,"28 feet","60 feet","20 feet","295 lbs.","7,840 cubic ft.","26","Balloonicle","Goodyear Tire and Rubber Company",NA,NA
"Sinclair Oil Corporation",2,"1966","Sinclair Oil Corporation","Manfred Bass",NA,NA,NA,NA,NA,NA,"Balloonicle",NA,NA,NA
"Sinclair Oil Corporation",3,"2015-2021","Sinclair Oil Corporation","Laura Duphiney","36 feet","72 feet","24 feet","349 lbs.","11,370 cubic ft.","90","Balloonicle","Raven Aerostar",NA,NA
"Sinclair Oil Corporation",4,"2018-present","Sinclair Oil Corporation (2018-2022)HF Sinclair (2023-present)","Laura Duphiney",NA,NA,NA,NA,NA,"12","Balloonicle","Signs & Shapes International",NA,NA
"Sinclair Oil Corporation",5,"2022-present","Sinclair Oil (2022)HF Sinclair (2023-present)","Joseph Ammons","49 feet","68 feet","26 feet",NA,NA,"90","Balloonicle","Macy's Parade Studio",NA,NA
"Snowbo",1,"2005-2007 (Main Parade)2005-2009 (Macy's Holiday Parade)","Macy's","Joel Naprstek",NA,NA,NA,NA,NA,NA,"Balloonicle",NA,NA,NA
"The Aflac Duck",1,"2011-2013","Aflac, Inc.","Laura Duphiney","35 feet","22 feet",NA,NA,NA,NA,"Balloonicle",NA,NA,NA
"The Aflac Duck",2,"2014-2016","Aflac, Inc.","Joel Naprstek","33 feet",NA,"20 feet",NA,NA,NA,"Balloonicle",NA,NA,NA
"The Aflac Duck",3,"2017-2019","Aflac, Inc.",NA,"30 feet",NA,"15 feet",NA,NA,"8","Balloonicle",NA,NA,NA
"Tom Turkey",1,"1973-1992","Macy's","Manfred Bass",NA,NA,NA,NA,NA,NA,"Balloonicle",NA,NA,NA
"Tom Turkey",2,"1993-2002, 2004-2017","Macy's (1993, 1995-1998, 2001-2002, 2004-2008, 2013-2016) Butterball Turkey Company (1994) macyparade.com (1999)macys.com (2000)Big3 Entertainment (2004)Food Network (2009-2010, 2012) Cooking Channel (2011) Bravo's Top Chef (2017)","Manfred Bass",NA,NA,NA,NA,NA,NA,"Balloonicle",NA,NA,NA
"Tom Turkey",3,"2015-2016 (Macy's Holiday Parade)","Macy's",NA,NA,NA,NA,NA,NA,NA,"Balloonicle",NA,NA,NA
"Tom Turkey",4,"2018-present","Macy's","Jennifer Palmer",NA,NA,NA,NA,NA,NA,"Balloonicle",NA,NA,NA
"Trixie's Dreidel",1,"2013","Macy's",NA,NA,NA,NA,NA,NA,NA,"Balloonicle",NA,NA,NA
"Weebles",1,"1975-1978","Hasbro",NA,"40 feet","25 feet","25 feet","258 lbs.","14,500 cubic ft.","37","Balloonicle","Goodyear Tire and Rubber Company",NA,NA
"Weebles",2,"2004-2006","Playskool","Astrid Riemer",NA,NA,NA,NA,NA,NA,"Balloonicle","Raven Aerostar",NA,NA
