"balloon","url","type"
"80th Anniversary Hot Air Balloon","https://macysthanksgiving.fandom.com/wiki/80th_Anniversary_Hot_Air_Balloon","Giant Balloons"
"Abby Cadabby","https://macysthanksgiving.fandom.com/wiki/Abby_Cadabby","Giant Balloons"
"Ada Twist, Scientist","https://macysthanksgiving.fandom.com/wiki/Ada_Twist,_Scientist","Giant Balloons"
"Adventure Time with Finn and Jake","https://macysthanksgiving.fandom.com/wiki/Adventure_Time_with_Finn_and_Jake","Giant Balloons"
"Andy the Alligator","https://macysthanksgiving.fandom.com/wiki/Andy_the_Alligator","Giant Balloons"
"Angry Birds' Red","https://macysthanksgiving.fandom.com/wiki/Angry_Birds%27_Red","Giant Balloons"
"Arrtle the Pirate","https://macysthanksgiving.fandom.com/wiki/Arrtle_the_Pirate","Giant Balloons"
"Arthur","https://macysthanksgiving.fandom.com/wiki/Arthur","Giant Balloons"
"Babar","https://macysthanksgiving.fandom.com/wiki/Babar","Giant Balloons"
"Babe","https://macysthanksgiving.fandom.com/wiki/Babe","Giant Balloons"
"Baby Shamu","https://macysthanksgiving.fandom.com/wiki/Baby_Shamu","Giant Balloons"
"Barney","https://macysthanksgiving.fandom.com/wiki/Barney","Giant Balloons"
"Barney Google","https://macysthanksgiving.fandom.com/wiki/Barney_Google","Giant Balloons"
"Bart Simpson","https://macysthanksgiving.fandom.com/wiki/Bart_Simpson","Giant Balloons"
"Beethoven","https://macysthanksgiving.fandom.com/wiki/Beethoven","Giant Balloons"
"Betty Boop","https://macysthanksgiving.fandom.com/wiki/Betty_Boop","Giant Balloons"
"Big Bird","https://macysthanksgiving.fandom.com/wiki/Big_Bird","Giant Balloons"
"Big Turk","https://macysthanksgiving.fandom.com/wiki/Big_Turk","Giant Balloons"
"Blue's Clues","https://macysthanksgiving.fandom.com/wiki/Blue%27s_Clues","Giant Balloons"
"Bluey","https://macysthanksgiving.fandom.com/wiki/Bluey","Giant Balloons"
"Bobo the Hobo","https://macysthanksgiving.fandom.com/wiki/Bobo_the_Hobo","Giant Balloons"
"Boob McNutt","https://macysthanksgiving.fandom.com/wiki/Boob_McNutt","Giant Balloons"
"Bugs Bunny","https://macysthanksgiving.fandom.com/wiki/Bugs_Bunny","Giant Balloons"
"Bullwinkle J. Moose","https://macysthanksgiving.fandom.com/wiki/Bullwinkle_J._Moose","Giant Balloons"
"Bumpé","https://macysthanksgiving.fandom.com/wiki/Bump%C3%A9","Giant Balloons"
"Buzz Lightyear","https://macysthanksgiving.fandom.com/wiki/Buzz_Lightyear","Giant Balloons"
"Cassie","https://macysthanksgiving.fandom.com/wiki/Cassie","Giant Balloons"
"Cat","https://macysthanksgiving.fandom.com/wiki/Cat","Giant Balloons"
"Charlie Brown","https://macysthanksgiving.fandom.com/wiki/Charlie_Brown","Giant Balloons"
"Chase from PAW Patrol","https://macysthanksgiving.fandom.com/wiki/Chase_from_PAW_Patrol","Giant Balloons"
"Cheesasaurus Rex","https://macysthanksgiving.fandom.com/wiki/Cheesasaurus_Rex","Giant Balloons"
"Chicken Little","https://macysthanksgiving.fandom.com/wiki/Chicken_Little","Giant Balloons"
"Christmas Stocking","https://macysthanksgiving.fandom.com/wiki/Christmas_Stocking","Giant Balloons"
"Clarence the Clown","https://macysthanksgiving.fandom.com/wiki/Clarence_the_Clown","Giant Balloons"
"Clifford the Big Red Dog","https://macysthanksgiving.fandom.com/wiki/Clifford_the_Big_Red_Dog","Giant Balloons"
"Colicky Kid","https://macysthanksgiving.fandom.com/wiki/Colicky_Kid","Giant Balloons"
"Crocodile","https://macysthanksgiving.fandom.com/wiki/Crocodile","Giant Balloons"
"Curious George","https://macysthanksgiving.fandom.com/wiki/Curious_George","Giant Balloons"
"Dexter's Laboratory","https://macysthanksgiving.fandom.com/wiki/Dexter%27s_Laboratory","Giant Balloons"
"Diary of a Wimpy Kid","https://macysthanksgiving.fandom.com/wiki/Diary_of_a_Wimpy_Kid","Giant Balloons"
"Donald Duck","https://macysthanksgiving.fandom.com/wiki/Donald_Duck","Giant Balloons"
"Dora the Explorer (character)","https://macysthanksgiving.fandom.com/wiki/Dora_the_Explorer_(character)","Giant Balloons"
"Dudley the Dragon","https://macysthanksgiving.fandom.com/wiki/Dudley_the_Dragon","Giant Balloons"
"Early Bird","https://macysthanksgiving.fandom.com/wiki/Early_Bird","Giant Balloons"
"Eben Bear","https://macysthanksgiving.fandom.com/wiki/Eben_Bear","Giant Balloons"
"Eddie Cantor","https://macysthanksgiving.fandom.com/wiki/Eddie_Cantor","Giant Balloons"
"Elephant","https://macysthanksgiving.fandom.com/wiki/Elephant","Giant Balloons"
"Elsie the Cow","https://macysthanksgiving.fandom.com/wiki/Elsie_the_Cow","Giant Balloons"
"Father Knickerbocker","https://macysthanksgiving.fandom.com/wiki/Father_Knickerbocker","Giant Balloons"
"Felix the Cat","https://macysthanksgiving.fandom.com/wiki/Felix_the_Cat","Giant Balloons"
"Ferdinand the Bull","https://macysthanksgiving.fandom.com/wiki/Ferdinand_the_Bull","Giant Balloons"
"Flying Fish","https://macysthanksgiving.fandom.com/wiki/Flying_Fish","Giant Balloons"
"Flying Trapeze (1962)","https://macysthanksgiving.fandom.com/wiki/Flying_Trapeze_(1962)","Giant Balloons"
"Freida the Dachshund","https://macysthanksgiving.fandom.com/wiki/Freida_the_Dachshund","Giant Balloons"
"Fritz the Dachshund","https://macysthanksgiving.fandom.com/wiki/Fritz_the_Dachshund","Giant Balloons"
"Garfield","https://macysthanksgiving.fandom.com/wiki/Garfield","Giant Balloons"
"George the Giant Drum Major","https://macysthanksgiving.fandom.com/wiki/George_the_Giant_Drum_Major","Giant Balloons"
"Giantess","https://macysthanksgiving.fandom.com/wiki/Giantess","Giant Balloons"
"Gnome","https://macysthanksgiving.fandom.com/wiki/Gnome","Giant Balloons"
"Gobble the Turkey","https://macysthanksgiving.fandom.com/wiki/Gobble_the_Turkey","Giant Balloons"
"Goku","https://macysthanksgiving.fandom.com/wiki/Goku","Giant Balloons"
"Goldfish","https://macysthanksgiving.fandom.com/wiki/Goldfish","Giant Balloons"
"Goldfish (1928)","https://macysthanksgiving.fandom.com/wiki/Goldfish_(1928)","Giant Balloons"
"Goofy","https://macysthanksgiving.fandom.com/wiki/Goofy","Giant Balloons"
"Gorgeous Gobbler","https://macysthanksgiving.fandom.com/wiki/Gorgeous_Gobbler","Giant Balloons"
"Green Eggs and Ham","https://macysthanksgiving.fandom.com/wiki/Green_Eggs_and_Ham","Giant Balloons"
"Grogu","https://macysthanksgiving.fandom.com/wiki/Grogu","Giant Balloons"
"Gulliver The Gullible","https://macysthanksgiving.fandom.com/wiki/Gulliver_The_Gullible","Giant Balloons"
"Hamlet the Balloon School Pig","https://macysthanksgiving.fandom.com/wiki/Hamlet_the_Balloon_School_Pig","Giant Balloons"
"Happy Dragon","https://macysthanksgiving.fandom.com/wiki/Happy_Dragon","Giant Balloons"
"Happy Hippo","https://macysthanksgiving.fandom.com/wiki/Happy_Hippo","Giant Balloons"
"Harold the Baseball Player","https://macysthanksgiving.fandom.com/wiki/Harold_the_Baseball_Player","Giant Balloons"
"Harold the Fireman","https://macysthanksgiving.fandom.com/wiki/Harold_the_Fireman","Giant Balloons"
"Harold the Policeman","https://macysthanksgiving.fandom.com/wiki/Harold_the_Policeman","Giant Balloons"
"Hello Kitty","https://macysthanksgiving.fandom.com/wiki/Hello_Kitty","Giant Balloons"
"Hobo Clown","https://macysthanksgiving.fandom.com/wiki/Hobo_Clown","Giant Balloons"
"Honey Nut Cheerios Bee","https://macysthanksgiving.fandom.com/wiki/Honey_Nut_Cheerios_Bee","Giant Balloons"
"Horace Horsecollar","https://macysthanksgiving.fandom.com/wiki/Horace_Horsecollar","Giant Balloons"
"Horse And Rider (1929)","https://macysthanksgiving.fandom.com/wiki/Horse_And_Rider_(1929)","Giant Balloons"
"Horton the Elephant","https://macysthanksgiving.fandom.com/wiki/Horton_the_Elephant","Giant Balloons"
"Howdy Doody","https://macysthanksgiving.fandom.com/wiki/Howdy_Doody","Giant Balloons"
"Hugo the Football Hero","https://macysthanksgiving.fandom.com/wiki/Hugo_the_Football_Hero","Giant Balloons"
"Humming Bird","https://macysthanksgiving.fandom.com/wiki/Humming_Bird","Giant Balloons"
"Humpty Dumpty","https://macysthanksgiving.fandom.com/wiki/Humpty_Dumpty","Giant Balloons"
"Ice Age's Scrat and His Acorn","https://macysthanksgiving.fandom.com/wiki/Ice_Age%27s_Scrat_and_His_Acorn","Giant Balloons"
"Ice Cream Cone (1945)","https://macysthanksgiving.fandom.com/wiki/Ice_Cream_Cone_(1945)","Giant Balloons"
"Indian","https://macysthanksgiving.fandom.com/wiki/Indian","Giant Balloons"
"Izzy","https://macysthanksgiving.fandom.com/wiki/Izzy","Giant Balloons"
"Jeeves","https://macysthanksgiving.fandom.com/wiki/Jeeves","Giant Balloons"
"Jerry the Pig","https://macysthanksgiving.fandom.com/wiki/Jerry_the_Pig","Giant Balloons"
"Jett from Super Wings","https://macysthanksgiving.fandom.com/wiki/Jett_from_Super_Wings","Giant Balloons"
"Jimmy Neutron","https://macysthanksgiving.fandom.com/wiki/Jimmy_Neutron","Giant Balloons"
"Joe Jinks","https://macysthanksgiving.fandom.com/wiki/Joe_Jinks","Giant Balloons"
"JoJo's Circus","https://macysthanksgiving.fandom.com/wiki/JoJo%27s_Circus","Giant Balloons"
"Julius","https://macysthanksgiving.fandom.com/wiki/Julius","Giant Balloons"
"Kermit the Frog","https://macysthanksgiving.fandom.com/wiki/Kermit_the_Frog","Giant Balloons"
"Kitty","https://macysthanksgiving.fandom.com/wiki/Kitty","Giant Balloons"
"Leo","https://macysthanksgiving.fandom.com/wiki/Leo","Giant Balloons"
"Linus the Lionhearted","https://macysthanksgiving.fandom.com/wiki/Linus_the_Lionhearted","Giant Balloons"
"Little Bill","https://macysthanksgiving.fandom.com/wiki/Little_Bill","Giant Balloons"
"Little Man-Big Man","https://macysthanksgiving.fandom.com/wiki/Little_Man-Big_Man","Giant Balloons"
"M&M's","https://macysthanksgiving.fandom.com/wiki/M%26M%27s","Giant Balloons"
"Mickey Mouse","https://macysthanksgiving.fandom.com/wiki/Mickey_Mouse","Giant Balloons"
"Mighty Mouse","https://macysthanksgiving.fandom.com/wiki/Mighty_Mouse","Giant Balloons"
"Monkey","https://macysthanksgiving.fandom.com/wiki/Monkey","Giant Balloons"
"Monkey D. Luffy","https://macysthanksgiving.fandom.com/wiki/Monkey_D._Luffy","Giant Balloons"
"Monkey on the High Trapeze","https://macysthanksgiving.fandom.com/wiki/Monkey_on_the_High_Trapeze","Giant Balloons"
"Monopoly","https://macysthanksgiving.fandom.com/wiki/Monopoly","Giant Balloons"
"Morton the Nantucket Sea Monster","https://macysthanksgiving.fandom.com/wiki/Morton_the_Nantucket_Sea_Monster","Giant Balloons"
"Mr. Potato Head","https://macysthanksgiving.fandom.com/wiki/Mr._Potato_Head","Giant Balloons"
"Observer","https://macysthanksgiving.fandom.com/wiki/Observer","Giant Balloons"
"Officer SOS 13","https://macysthanksgiving.fandom.com/wiki/Officer_SOS_13","Giant Balloons"
"Ol' Man Pumpkin","https://macysthanksgiving.fandom.com/wiki/Ol%27_Man_Pumpkin","Giant Balloons"
"Olaf","https://macysthanksgiving.fandom.com/wiki/Olaf","Giant Balloons"
"Old Man Dragon","https://macysthanksgiving.fandom.com/wiki/Old_Man_Dragon","Giant Balloons"
"Olive Oyl","https://macysthanksgiving.fandom.com/wiki/Olive_Oyl","Giant Balloons"
"Paddington Bear","https://macysthanksgiving.fandom.com/wiki/Paddington_Bear","Giant Balloons"
"Panda Bear","https://macysthanksgiving.fandom.com/wiki/Panda_Bear","Giant Balloons"
"Papa Smurf","https://macysthanksgiving.fandom.com/wiki/Papa_Smurf","Giant Balloons"
"Peter Rabbit","https://macysthanksgiving.fandom.com/wiki/Peter_Rabbit","Giant Balloons"
"Petula Pig","https://macysthanksgiving.fandom.com/wiki/Petula_Pig","Giant Balloons"
"Pikachu","https://macysthanksgiving.fandom.com/wiki/Pikachu","Giant Balloons"
"Pilgrim (1946)","https://macysthanksgiving.fandom.com/wiki/Pilgrim_(1946)","Giant Balloons"
"Pillsbury Doughboy","https://macysthanksgiving.fandom.com/wiki/Pillsbury_Doughboy","Giant Balloons"
"Pink Panther","https://macysthanksgiving.fandom.com/wiki/Pink_Panther","Giant Balloons"
"Pinocchio","https://macysthanksgiving.fandom.com/wiki/Pinocchio","Giant Balloons"
"Pluto","https://macysthanksgiving.fandom.com/wiki/Pluto","Giant Balloons"
"Po from Kung Fu Panda","https://macysthanksgiving.fandom.com/wiki/Po_from_Kung_Fu_Panda","Giant Balloons"
"Popeye","https://macysthanksgiving.fandom.com/wiki/Popeye","Giant Balloons"
"Power Rangers Mighty Morphin Red Ranger","https://macysthanksgiving.fandom.com/wiki/Power_Rangers_Mighty_Morphin_Red_Ranger","Giant Balloons"
"Quik Bunny","https://macysthanksgiving.fandom.com/wiki/Quik_Bunny","Giant Balloons"
"Rabbit","https://macysthanksgiving.fandom.com/wiki/Rabbit","Giant Balloons"
"Raggedy Ann","https://macysthanksgiving.fandom.com/wiki/Raggedy_Ann","Giant Balloons"
"Red Candy Cane","https://macysthanksgiving.fandom.com/wiki/Red_Candy_Cane","Giant Balloons"
"Red Titan","https://macysthanksgiving.fandom.com/wiki/Red_Titan","Giant Balloons"
"Rex","https://macysthanksgiving.fandom.com/wiki/Rex","Giant Balloons"
"Ronald McDonald","https://macysthanksgiving.fandom.com/wiki/Ronald_McDonald","Giant Balloons"
"Rugrats","https://macysthanksgiving.fandom.com/wiki/Rugrats","Giant Balloons"
"Santa Claus","https://macysthanksgiving.fandom.com/wiki/Santa_Claus","Giant Balloons"
"Scooby-Doo","https://macysthanksgiving.fandom.com/wiki/Scooby-Doo","Giant Balloons"
"Sea Serpent","https://macysthanksgiving.fandom.com/wiki/Sea_Serpent","Giant Balloons"
"Shrek (character)","https://macysthanksgiving.fandom.com/wiki/Shrek_(character)","Giant Balloons"
"Sinclair Oil Corporation","https://macysthanksgiving.fandom.com/wiki/Sinclair_Oil_Corporation","Giant Balloons"
"Sky Dancer","https://macysthanksgiving.fandom.com/wiki/Sky_Dancer","Giant Balloons"
"Sky Elephant","https://macysthanksgiving.fandom.com/wiki/Sky_Elephant","Giant Balloons"
"Sky Tiger","https://macysthanksgiving.fandom.com/wiki/Sky_Tiger","Giant Balloons"
"Skylanders' Eruptor","https://macysthanksgiving.fandom.com/wiki/Skylanders%27_Eruptor","Giant Balloons"
"Smile","https://macysthanksgiving.fandom.com/wiki/Smile","Giant Balloons"
"Smokey Bear","https://macysthanksgiving.fandom.com/wiki/Smokey_Bear","Giant Balloons"
"Smurf","https://macysthanksgiving.fandom.com/wiki/Smurf","Giant Balloons"
"Snoopy","https://macysthanksgiving.fandom.com/wiki/Snoopy","Giant Balloons"
"Snuggle Bear","https://macysthanksgiving.fandom.com/wiki/Snuggle_Bear","Giant Balloons"
"Sonic the Hedgehog","https://macysthanksgiving.fandom.com/wiki/Sonic_the_Hedgehog","Giant Balloons"
